popularity,popularity_num,artist_followers,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
False,58,657441,72,0.693,0.529,9,-4.819,1,0.0539,0.56,0,0.111,0.555,80.026,4
False,44,50710,59,0.589,0.424,7,-12.624,1,0.0364,0.296,7.38e-06,0.235,0.378,103.083,4
True,2,580174,65,0.445,0.528,10,-7.243,1,0.0744,0.677,0,0.155,0.511,203.155,4
False,48,67792,54,0.714,0.479,5,-8.228,0,0.0286,0.661,0,0.17,0.773,98.015,4
True,0,232204,64,0.68,0.391,11,-6.906,1,0.0357,0.723,0,0.107,0.419,82.861,4
True,31,52,24,0.695,0.396,10,-7.499,1,0.039,0.785,0,0.103,0.567,139.893,4
True,30,6920,41,0.446,0.368,11,-5.906,1,0.0306,0.816,6.24e-05,0.114,0.265,124.032,4
False,41,7938,42,0.533,0.278,1,-8.992,1,0.0381,0.78,0,0.104,0.82,82.985,4
False,44,26261,46,0.767,0.307,3,-7.296,1,0.032,0.856,0,0.125,0.777,95.04,4
False,50,657441,72,0.401,0.311,8,-7.327,1,0.0437,0.754,0,0.279,0.282,79.197,4
False,45,20589,46,0.649,0.331,11,-6.973,0,0.0424,0.854,0,0.115,0.367,117.488,4
False,58,580174,65,0.36,0.565,7,-4.898,1,0.0608,0.358,0,0.0448,0.311,173.281,4
True,31,3307,43,0.622,0.268,4,-9.199,1,0.0399,0.917,6.89e-05,0.0989,0.236,117.345,4
True,32,9619,41,0.595,0.502,9,-7.431,1,0.156,0.435,0,0.0915,0.539,77.179,4
True,35,701,30,0.52,0.324,5,-8.113,1,0.0382,0.735,0,0.104,0.453,98.697,4
True,0,50710,59,0.713,0.318,4,-8.939,1,0.0269,0.861,0.000888,0.0957,0.325,86.846,4
True,32,1687,30,0.769,0.495,5,-4.422,0,0.0564,0.158,0,0.239,0.789,121.15,4
False,54,76806,55,0.42,0.314,6,-7.368,1,0.0324,0.798,2.2e-05,0.113,0.192,128.412,4
True,27,89,16,0.585,0.283,8,-7.308,1,0.0283,0.917,1.97e-05,0.114,0.205,109.289,4
True,34,13839,36,0.802,0.188,3,-8.967,0,0.111,0.759,1.06e-06,0.0982,0.422,91.841,4
False,46,50710,59,0.67,0.354,7,-12.587,1,0.0326,0.698,0.000166,0.109,0.33,127.136,4
True,31,84,20,0.685,0.353,5,-8.225,1,0.0558,0.84,0,0.104,0.713,180.088,4
True,38,14700,53,0.752,0.436,8,-6.581,0,0.0539,0.693,0,0.114,0.475,84.993,4
True,29,6091,42,0.434,0.276,9,-11.134,1,0.0406,0.935,5.54e-05,0.38,0.352,91.723,4
False,49,67792,54,0.627,0.482,5,-5.855,1,0.0262,0.68,0,0.0742,0.384,92.985,4
True,34,4718,44,0.771,0.398,2,-9.159,1,0.0382,0.783,0,0.108,0.71,89.971,4
False,55,142119,56,0.697,0.692,7,-5.34,1,0.0511,0.263,0,0.104,0.281,124.829,4
True,28,2907,39,0.554,0.391,7,-4.738,1,0.0281,0.481,1.92e-06,0.14,0.239,135.952,4
True,31,239,30,0.516,0.244,3,-14.836,1,0.0313,0.93,0.213,0.123,0.344,135.809,4
True,29,1263,36,0.58,0.356,0,-10.801,1,0.0313,0.551,0.00882,0.241,0.189,112.816,3
True,37,6091,42,0.82,0.566,1,-4.74,1,0.0266,0.747,1.12e-06,0.0736,0.844,104.961,4
True,39,7938,42,0.408,0.265,11,-8.273,1,0.0293,0.911,0,0.112,0.355,142.319,4
True,32,9986,49,0.396,0.0964,2,-15.364,1,0.0354,0.885,3.3e-05,0.175,0.236,134.704,4
False,44,217733,59,0.922,0.294,7,-7.34,1,0.0579,0.949,0.0133,0.109,0.439,107.022,4
True,33,3355,38,0.792,0.426,3,-5.471,1,0.0288,0.66,0,0.0898,0.764,104.973,4
True,39,48567,46,0.465,0.279,11,-8.946,1,0.0337,0.878,0,0.126,0.427,62.35,4
True,28,6091,42,0.735,0.284,7,-9.684,1,0.0265,0.813,0,0.0713,0.512,87.977,4
True,27,795,30,0.43,0.341,1,-5.996,0,0.0601,0.832,0,0.0471,0.569,79.804,4
True,29,7250,30,0.713,0.463,0,-8.029,1,0.032,0.595,0,0.116,0.523,90.003,4
True,33,2020,35,0.585,0.412,6,-6.157,1,0.0309,0.76,0,0.102,0.4,86.063,4
True,32,3597,30,0.767,0.381,3,-8.54,1,0.0302,0.86,2.7e-06,0.158,0.484,111.927,4
True,37,94375,50,0.758,0.392,7,-6.065,1,0.0285,0.516,0,0.0843,0.732,103.966,4
True,32,6091,42,0.701,0.411,11,-8.428,1,0.0465,0.783,0,0.0856,0.656,76.127,4
True,27,813,32,0.526,0.124,3,-12.266,1,0.0524,0.96,1.82e-05,0.0948,0.601,133.525,4
True,29,6726,40,0.665,0.5,1,-6.372,1,0.0246,0.604,0,0.111,0.539,95.043,4
True,36,1143,24,0.715,0.524,3,-4.659,0,0.0414,0.339,0,0.0974,0.694,96.925,4
False,46,210676,60,0.76,0.328,3,-9.781,1,0.0349,0.92,0.00823,0.13,0.297,122.024,4
False,44,513747,62,0.722,0.342,4,-7.779,1,0.0387,0.631,0,0.0884,0.523,85.041,4
True,31,17002,42,0.587,0.524,2,-7.258,1,0.0443,0.841,1.34e-06,0.297,0.662,90.014,4
False,78,2226618,79,0.702,0.913,11,-2.977,1,0.0374,0.0514,3.71e-06,0.166,0.735,137.982,4
False,79,3366398,79,0.686,0.842,0,-4.423,1,0.1,0.237,0,0.0683,0.519,115.944,4
False,56,1904990,73,0.398,0.34,8,-7.209,1,0.0299,0.808,0,0.109,0.464,173.452,3
False,70,1819464,76,0.719,0.85,2,-3.229,1,0.0317,0.012,0.000239,0.114,0.367,150.059,4
False,80,110642,74,0.751,0.642,3,-5.165,0,0.087,0.0861,0,0.0953,0.388,95.045,4
False,80,4407716,84,0.671,0.859,4,-3.922,0,0.0833,0.0323,0,0.267,0.389,139.931,4
False,72,660106,67,0.695,0.832,9,-3.455,0,0.0288,0.000371,0.000483,0.469,0.249,111.997,4
False,76,61911,67,0.698,0.908,9,-1.211,0,0.0548,0.0899,0,0.115,0.606,115.975,4
False,61,200918,59,0.428,0.792,3,-5.208,0,0.0487,0.00775,0,0.252,0.367,151.91,4
False,63,310472,67,0.732,0.589,5,-6.223,0,0.072,0.0689,0,0.0489,0.619,127.968,4
False,63,232204,64,0.846,0.57,7,-5.735,0,0.0743,0.522,0,0.148,0.785,108.025,4
False,73,336695,73,0.587,0.664,0,-8.63,1,0.0645,0.344,2.47e-05,0.324,0.453,99.8,4
False,75,657441,72,0.839,0.617,7,-4.692,1,0.331,0.241,0,0.3,0.821,143.894,4
False,62,261030,56,0.612,0.911,6,-0.857,0,0.0723,0.202,0,0.0747,0.566,104.949,4
False,67,949008,68,0.633,0.792,3,-3.202,1,0.0296,0.0884,0,0.37,0.369,107.96,4
False,60,396656,75,0.821,0.674,5,-3.053,0,0.0483,0.0897,0,0.0704,0.527,122.04,4
False,72,470467,67,0.61,0.905,9,-3.686,0,0.0369,0.0142,0,0.0592,0.521,122.012,4
False,84,744132,80,0.566,0.769,7,-4.342,1,0.0872,0.0183,0,0.108,0.385,170.036,4
False,68,1278888,70,0.613,0.868,6,-2.792,0,0.143,0.0599,0,0.352,0.394,165.133,4
